"ticketId";"subject";"stav";"fronta";"admin";"link";"CID";"SID";"datumCas";"je_comment";"je_correspond";"je_set";"je_create";"je_status";"odpracovanoHodin"
811400;cloud-1757/nrpe_load is CRITICAL;open;support;tomas.krupicka;https://rt.i.masterinter.net/Ticket/Display.html?id=811400;"6473";;2026-06-01 00:32:13.000;0;1;0;0;0;0.7500
811385;"UPS: Bypass not in range ; either frequency or voltage.";resolved;noc;zidek;https://rt.i.masterinter.net/Ticket/Display.html?id=811385;;;2026-06-01 04:44:29.000;1;0;0;0;0;0.0000
811048;vm547 - rdp licence problem;resolved;support;schon;https://rt.i.masterinter.net/Ticket/Display.html?id=811048;"4703";;2026-06-01 04:47:16.000;0;0;1;0;0;0.0000
811314;d4157/check_veeam_backup is CRITICAL;resolved;support;schon;https://rt.i.masterinter.net/Ticket/Display.html?id=811314;"4759";"54849";2026-06-01 04:49:58.000;0;0;1;0;0;0.0000
811048;vm547 - rdp licence problem;resolved;support;schon;https://rt.i.masterinter.net/Ticket/Display.html?id=811048;"4703";;2026-06-01 05:02:39.000;0;1;0;0;0;0.2500
811048;vm547 - rdp licence problem;resolved;support;schon;https://rt.i.masterinter.net/Ticket/Display.html?id=811048;"4703";;2026-06-01 05:03:12.000;0;0;1;0;0;0.0000
810451;Obj. ID: 10520 Z·kaznÌk: #4236 - »evelÌËek Marek (Liquid Design s.r.o.);resolved;objednavky;blazek;https://rt.i.masterinter.net/Ticket/Display.html?id=810451;"4236";;2026-06-01 05:18:21.000;0;1;0;0;0;0.0000
743099;[tracking] Pravideln· kontrola kopia z·loh;open;support;blazek;https://rt.i.masterinter.net/Ticket/Display.html?id=743099;;;2026-06-01 05:19:52.000;1;0;0;0;0;0.0833
810092;Obj. ID: 10515 Z·kaznÌk: #2870 - VyöohlÌd Martin;resolved;objednavky;blazek;https://rt.i.masterinter.net/Ticket/Display.html?id=810092;"2870";;2026-06-01 05:26:22.000;0;1;0;0;0;0.0000
811380;Fail event on /dev/md126:backup17;resolved;support;maska;https://rt.i.masterinter.net/Ticket/Display.html?id=811380;;;2026-06-01 05:36:25.000;0;0;1;0;0;0.0000
811416;IPv4 lease rates right now;resolved;spam;maska;https://rt.i.masterinter.net/Ticket/Display.html?id=811416;;;2026-06-01 05:36:54.000;0;0;1;0;0;0.0000
811394;UCEPROTECT Monitoring Report;resolved;support;maska;https://rt.i.masterinter.net/Ticket/Display.html?id=811394;;;2026-06-01 05:38:13.000;0;0;1;0;0;0.0000
811389;UCEPROTECT Monitoring -> Accountchanges;resolved;support;maska;https://rt.i.masterinter.net/Ticket/Display.html?id=811389;;;2026-06-01 05:38:39.000;0;0;1;0;0;0.0000
811417;d9725 - zvyseny load;resolved;support;maska;https://rt.i.masterinter.net/Ticket/Display.html?id=811417;"6593";"90636";2026-06-01 05:47:58.000;0;0;1;0;0;0.0000
811415;Automatick· odpoveÔ: ⁄hrada faktury Ë. 242379 selhala;resolved;support;blazek;https://rt.i.masterinter.net/Ticket/Display.html?id=811415;;;2026-06-01 05:53:56.000;0;0;1;0;0;0.0333
811395;(admin.masterdc.com CID#6173) UkonËenÌ smluivnÌho vstahu se spoleËnostÌ BFT Management, a.s. k  30.6.2026;resolved;support;blazek;https://rt.i.masterinter.net/Ticket/Display.html?id=811395;"6173";"65789";2026-06-01 05:59:34.000;0;0;1;0;0;0.0000
811388;PROBLEM Service Alert: d4060/nrpe_disk is CRITICAL;resolved;support;blazek;https://rt.i.masterinter.net/Ticket/Display.html?id=811388;;;2026-06-01 06:03:01.000;0;0;1;0;0;0.0000
811387;PROBLEM Service Alert:  d95/nrpe_mailq is CRITICAL ;resolved;support;blazek;https://rt.i.masterinter.net/Ticket/Display.html?id=811387;"7247";;2026-06-01 06:03:37.000;0;0;1;0;0;0.0000
811372;PROBLEM Service Alert:  d2001-555/http is CRITICAL;open;support;blazek;https://rt.i.masterinter.net/Ticket/Display.html?id=811372;"8712";;2026-06-01 06:05:28.000;0;0;1;0;0;0.0000
811300;BezpeËnostnÌ aktualizace samba CVE-2026-4408 (CVSS 10.0);resolved;support;belousov;https://rt.i.masterinter.net/Ticket/Display.html?id=811300;"6434";;2026-06-01 06:06:26.000;1;0;0;0;0;0.5000
811370;dummy_dohled_wildcard.i.masterinter.net/ssl_validation_is-staging.i.masterinter.net:8088 is UNKNOWN;resolved;support;blazek;https://rt.i.masterinter.net/Ticket/Display.html?id=811370;;;2026-06-01 06:07:06.000;1;0;0;0;0;0.0833
811212;[csirt-cz] [TLP:CLEAR] [Max CVSS 10.0] Samba opravuje 6 zranitelnostÌ;resolved;csirt;belousov;https://rt.i.masterinter.net/Ticket/Display.html?id=811212;;;2026-06-01 06:07:27.000;1;0;0;0;0;0.0000
811368;vps-3340/https is CRITICAL;resolved;support;blazek;https://rt.i.masterinter.net/Ticket/Display.html?id=811368;"3127";;2026-06-01 06:07:28.000;0;0;1;0;0;0.0000
